駅名,利用者数
平塚,123614
平子,8
平安通,12544
平山,0
平山城址公園,8402
平岡,91
平岩,4
平岸,16778
平川,1872
平成,2398
平戸橋,1739
平木,359
平木田,0
平松,1112
平林,4968
平沼橋,8926
平泉,874
平津,366
平津戸,0
平滝,6
平田,3076
平田町,5467
平石,0
平磯,205
平福,13
平端,4341
平群,2979
平賀,432
平野,22122
平針,16956
平間,29558
平館,0
幸,383
幸崎,610
幸手,13574
幸浦,5617
幸田,8431
幸谷,4533
幾寅,0
広,7280
広丘,5444
広原,0
広域公園前,3063
広大附属学校前,1888
広小路,148
広尾,62588
広島,154084
広島港（宇品）,2457
広島駅,32791
広川ビーチ,392
広戸,0
広木,1986
広瀬通,21290
広田,0
広畑,1685
広神戸,848
広貫堂前,330
広野,2384
広野ゴルフ場前,656
広電五日市,7313
広電宮島口,6349
広電廿日市,3544
広電本社前,3125
広電西広島（己斐）,11128
広電阿品,3034
庄内,28243
庄内緑地公園,8778
庄内通,14880
庄川口,29
床波,718
庚申塚,2450
府中,88769
府中本町,34978
府中競馬正門前,2922
府屋,172
座間,20833
庭坂,0
庭瀬,8682
庶路,0
延岡,2354
延徳,289
延方,0
建部,348
廿日市,8128
廿日市市役所前（平良）,3055
弁天島,1501
弁天橋,0
弁天町,68978
式敷,0
弓ヶ浜,652
弓削,392
引治,0
引田,468
弘前,8994
弘前学院大前,114
弘前東高前,115
弘明寺,29663
弘高下,43
弥五島,55
弥刀,10299
弥富,6224
弥彦,424
弥生,622
弥生が丘,2448
弥生台,15055
強羅,4549
当別,4640
当麻,0
当麻寺,1324
形原,921
彦山,0
彦崎,564
彦根,20978
彦根口,440
彩都西,10848
彫刻の森,636
影森,472
影野,36
彼杵,610
後三年,0
後免,6223
後免中町,106
後免東町,176
後免町,921
後免西町,278
後台,0
後楽園,106481
後潟,0
後藤,838
後閑,0
御井,0
御代志,724
御代田,1600
御厨,183
御器所,23360
御坊,3360
御堂,58
御室仁和寺,631
御宿,1128
御岳堂,0
御岳山,576
御崎,0
御崎公園,6874
御嵩,1281
御嵩口,265
御嶽,0
御嶽山,27248
御幣島,27094
御幸橋,1253
御幸辻,2709
御影,27313
御徒町,141074
御成門,52228
御所,1154
御来屋,210
御殿場,9896
御殿山,11454
御油,633
御着,5800
御花畑,2578
御茶ノ水,211780
御門台,2883
御陵,14766
御陵前,414
御領,93
徳丸,21
徳佐,142
徳力公団前,4410
徳力嵐山口,3125
徳和,825
徳宿,71
徳山,15084
徳島,16178
徳庵,21358
徳永,24
徳沢,0
徳満,0
徳田,680
徳益,209
徳重,20854
徳重・名古屋芸大,10832
心斎橋,154264
心臓血管センター,58
忍ヶ丘,17566
忍海,1525
志久,3926
志井,2335
志井公園,1720
志和口,486
志和地,66
志布志,0
志度,1948
志摩横山,174
志摩磯部,812
志摩神明,307
志摩赤崎,400
志文,0
志木,104698
志村三丁目,32536
志村坂上,30924
志染,3049
志比堺,37
志津,15716
志津川,0
志紀,21050
志茂,13794
志貴野中学校前,168
志賀,2126
志賀本通,14582
志都美,3960
忠岡,9337
忠海,992
思川,0
思案橋,1400
急患医療センター前,55
恋し浜,11
恋ヶ窪,12851
恋山形,4
恩智,5316
恩根内,0
恩田,827
恵み野,6414
恵庭,14758
恵我ノ荘,10677
恵比寿,295398
恵比島,0
恵比須,975
恵美須町,21496
恵良,0
恵那,6189
愛し野,0
愛・地球博記念公園,4739
愛別,0
愛大医学部南口,1316
愛子,8368
愛宕,9928
愛宕橋,5188
愛山,0
愛本,235
愛環梅坪,1932
愛甲石田,54602
愛知大学前,5112
愛知川,350
愛知御津,2750
愛野,6715
感田,352
慈眼寺,3054
慶徳校前,719
成城学園前,88692
成増,58587
成岩,2167
成島,982
成東,5692
成瀬,38366
成田,32394
成田湯川,1526
成田空港,27303
我孫子,63168
我孫子前,8563
我孫子町,12298
我孫子道,2575
戸倉,2224
戸出,1704
戸坂,3180
戸塚,225212
戸塚安行,16400
戸手,612
戸沢,1
戸狩野沢温泉,300
戸田,41822
戸田公園,69888
戸田小浜,18
戸畑,19242
戸綿,288
戸越,22712
戸越公園,13681
戸越銀座,20468
戸部,16841
戸頭,4347
房前,98
所木,0
所沢,102368
扇大橋,10144
扇沢,0
扇田,0
扇町,16728
手ノ子,0
手力,1619
手原,6138
手柄,2032
手樽,0
手稲,30546
打井川,0
打保,14
打出,15925
打田,1172
打越,85
払川,57
扶桑,6799
折原,0
折口,201
折壁,0
折尾,30856
折居,16
折本,39
折渡,0
折生迫,0
抜海,0
抜里,19
押上,225293
押切,0
押角,0
押部谷,960
押野,67
拓北,5106
拝島,60860
持田,913
指宿,1352
指扇,22068
挿頭丘,374
掖上,258
掛川,22659
掛川市役所前,169
掛澗,0
採銅所,0
接岨峡温泉,69
揖屋,1476
揖斐,1405
摂待,13
摂津,5374
摂津富田,40340
摂津市,11527
摂津本山,44056
摩周,112
摩耶,11570
摩耶ケーブル,639
摺沢,482
撫牛子,0
撫養,444
播州赤穂,8160
播磨,395
播磨下里,92
播磨徳久,182
播磨新宮,2492
播磨横田,56
播磨町,3763
播磨高岡,3462
撮影所前,623
放出,34108
教会前,88
教育大前,4652
敦賀,6748
敬川,48
整備場,2336
敷地,52
敷島,0
敷戸,2132
敷浪,372
文の里,10191
文化の森,302
文挟,0
文珠通,1016
斎宮,1372
斗米,136
斗賀野,246
新さっぽろ,41162
新ノ口,4029
新三河島,6031
新三田,27982
新三郷,32160
新上挙母,1639
新下関,9868
新中川町,2800
新中野,36488
新丸子,27539
新井,1946
新井口,16376
新井宿,11700
新井薬師前,22176
新今宮,132576
新今宮駅前,668
新代田,9619
新伊丹,6864
新伊勢崎,1310
新倉敷,15460
新入,740
新八代,4140
新八日市,490
新八柱,49906
新冠,0
新函館北斗,1308
新利府,0
新前橋,12474
新加納,1547
新加美,4902
新十津川,0
新千歳空港,35420
新千葉,2025
新南陽,2604
新原,0
新取手,1962
新古河,1631
新可児,5295
新吉久,35
新吉野,0
新在家,11523
新地,562
新地中華街,5600
新城,1334
新堂,390
新夕張,50
新大久保,102876
新大塚,25868
新大宮,28890
新大工町,3100
新大平下,2722
新大楽毛,0
新大津,6797
新大牟田,1216
新大阪,159028
新子安,47684
新守山,16466
新守谷,3079
新安城,24413
新宮,1840
新宮中央,10202
新宮川,106
新家,5412
新宿,1578732
新宿三丁目,165247
新宿御苑前,54912
新宿西口,61649
新富士,9324
新富山口,0
新富町,43838
新小岩,154408
新小平,22978
新小金井,4041
新尾道,2180
新居,93
新居浜,3896
新居町,4297
新屋,1842
新屋敷,814
新山口,15748
新岩国,1984
新島々,624
新崎,2666
新川,6516
新川崎,58814
新川橋,828
新川町,1301
新市,866
新平野,150
新広,7058
新庄,2786
新庄田中,170
新庚申塚,2649
新府,0
新座,42008
新得,442
新御徒町,57712
新御茶ノ水,96949
新所原,8256
新所沢,54822
新改,0
新整備場,5248
新日本橋,38658
新日鉄前,2080
新旭,2258
新旭川,0
新月,0
新木,5816
新木場,158322
新木屋瀬,219
新木曽川,6411
新札幌,28842
新杉田,75564
新村,263
新松戸,78650
新松田,22946
新板橋,30233
新柏,20417
新柴又,4862
新栃木,4163
新栄町,30148
新桐生,2132
新桜台,9923
新森古市,7221
新検見川,46092
新横浜,131536
新橋,563942
新正,1744
新水俣,1072
新水前寺,9404
新水前寺駅前,4826
新江古田,30008
新河岸,25833
新治,1280
新津,8530
新津田沼,68731
新浜松,16535
新浦安,114516
新深江,12832
新清水,6429
新清洲,8331
新潟,74944
新潟大学前,5982
新瀬戸,10893
新狭山,20559
新玉名,1204
新王寺,7152
新琴似,8158
新瑞橋,26878
新田,31295
新田原,1748
新田塚,519
新田老,0
新田辺,24474
新田野,14
新町,7506
新町口,75
新疋田,50
新発田,7130
新白岡,14020
新白島,23648
新白河,6058
新百合ヶ丘,128155
新相ノ木,145
新石切,18240
新祝園,14793
新神戸,46476
新福井,38
新福島,20860
新秋津,77820
新羽,21430
新羽島,2694
新習志野,27122
新能町,38
新舞子,5992
新船橋,13943
新芝浦,0
新花巻,1876
新茂原,2466
新蒲原,2849
新藤原,1577
新西大寺町筋,164
新西脇,14
新西金沢,1022
新見,1466
新谷,158
新豊橋,17989
新豊津,254
新豊洲,6796
新豊田,15694
新越谷,151316
新道東,15954
新那加,3194
新郷,305
新里,371
新野,1068
新金岡,21512
新金谷,684
新鉾田,1479
新鎌ヶ谷,41145
新長田,61290
新開地,23717
新関,0
新青森,7866
新静岡,19363
新須屋,627
新飯塚,8986
新馬場,16979
新高円寺,38044
新高岡,4082
新高島,7039
新高島平,10000
新高徳,335
新魚津,1519
新鳥栖,3282
新鵜沼,11033
新鶴,0
新鶴羽,19
新鹿,93
新鹿沼,3379
新黒部,348
方南町,39769
方谷,30
於札内,0
於福,60
旅伏,145
旗の台,40276
日の出,2322
日ノ出町,28487
日下,296
日代,0
日光,2204
日出,1016
日出塩,13
日出谷,0
日切,17
日前宮,669
日南,0
日原,66
日吉,206301
日吉本町,16738
日吉町,1493
日向,1848
日向住吉,1772
日向前田,0
日向北方,0
日向和田,0
日向大束,0
日向市,2658
日向庄内,0
日向新富,0
日向沓掛,0
日向長井,0
日和佐,286
日和田,0
日奈久温泉,78
日宇,836
日岡,1270
日当,5
日当山,0
日御子,194
日暮里,230184
日本へそ公園,16
日本ライン今渡,3083
日本大通り,27025
日本橋,199797
日根野,17632
日比谷,116808
日比野,18690
日永,979
日生,630
日生中央,10623
日田,1300
日登,8
日立,22350
日立木,0
日羽,166
日華化学前,280
日詰,1030
日赤病院前,2350
日進,27380
日野,54514
日野春,1182
日長,453
日高三石,0
日高幌別,0
日高東別,0
日高門別,0
旦過,3671
旧居留地・大丸前,4022
旧白滝,0
早口,202
早岐,3370
早島,2434
早川,2704
早戸,0
早月加積,112
早来,0
早瀬,18
早稲田,81284
早通,2128
早雲の里荏原,209
早雲山,2663
旭,3580
旭ヶ丘,14356
旭前,6281
旭川,9694
旭川四条,0
旭橋,8749
旭町一丁目,347
旭町三丁目,967
旭駅前通,1097
昆布,0
昆布盛,0
明塚,0
明大前,110961
明峰,1064
明戸,286
明星,1310
明智,913
明治神宮前,111354
明石,106972
明神,217
明科,2074
明見橋,93
明覚,0
明野,2061
星ヶ丘,52542
星川,28302
星田,16290
星置,11860
春日,131857
春日井,31666
春日原,22379
春日居町,0
春日山,1576
春日川,566
春日町,1844
春日部,71071
春日野道,16017
春木,14722
春木場,0
春江,2206
春田,7519
春立,0
春賀,28
昭和,0
昭和島,6569
昭和橋,602
昭和町,24311
昭和町通,800
昭島,52516
是政,7838
時又,200
時庭,10
晩生内,0
普代,198
晴山,0
智北,0
智恵文,0
智頭,2614
暁学園前,3216
暘谷,1732
曙橋,39245
曙町,95
曙町東町,100
曲沢,1
曳舟,29498
曳馬,2671
曽山寺,0
曽根,24131
曽根田,803
曽波神,0
曽谷,60
替佐,242
最上,286
最知,0
月ヶ岡,0
月ヶ瀬口,232
月寒中央,18470
月岡,116
月島,77166
月崎,15
月江寺,587
月田,108
月見山,4800
有井,105
有井川,10
有佐,1856
有備館,0
有壁,0
有家,0
有岡,81
有峰口,86
有年,492
有戸,0
有明,5818
有明テニスの森,5022
有明湯江,110
有松,14999
有栖川,2160
有楽町,346006
有珠,0
有田,1676
有畑,0
有間川,26
有馬口,889
有馬温泉,3384
服部,1656
服部天神,23920
服部川,2043
朝倉,7171
朝倉神社前,47
朝倉街道,13284
朝倉駅前,174
朝地,0
朝日,1394
朝日ヶ丘,182
朝日大塚,90
朝日通,1418
朝日野,30
朝来,448
朝潮橋,21174
朝熊,132
朝菜町,106
朝里,0
朝陽,2181
朝霞,69779
朝霞台,161762
朝霧,30946
木ノ下,863
木ノ本,1292
木上,11
木下,4148
木与,2
木古内,120
木場,77866
木場茶屋,0
木太東口,1014
木太町,762
木尾,11
木屋瀬,760
木屋町,646
木岐,38
木崎,2470
木幡,5480
木戸,0
木更津,27692
木曽川,8599
木曽川堤,720
木曽平沢,91
木曽福島,1394
木次,256
木津,9960
木津川,141
木津川台,2388
木津用水,2169
木田,7033
木知原,23
木花,732
木葉,770
木見,378
木路原,0
木造,358
木野,393
木野山,58
末広,0
末広町,26689
末恒,972
末続,0
末野原,2567
本中小屋,0
本中野,963
本俣賀,4
本八幡,120250
本八戸,2314
本千葉,23210
本厚木,151791
本吉,0
本吉原,318
本名,0
本城,2242
本塩釜,5764
本妙寺入口,454
本宮,3594
本宿,6435
本山,31452
本川内,0
本川町,1942
本川越,53230
本巣,120
本庄,19944
本庄早稲田,4556
本所吾妻橋,19630
本星崎,4446
本桐,0
本楯,0
本津幡,814
本牟田部,0
本由良,548
本町,219137
本町一丁目,0
本町三丁目,76
本町五丁目,76
本町六丁目,981
本町四丁目,72
本石倉,0
本竜野,3890
本笠寺,4707
本納,3280
本荘,122
本蓮沼,26019
本諫早（諫早市役所前）,1068
本輪西,0
本通,23018
本郷,22370
本郷三丁目,56671
本郷台,37546
本銚子,77
本長篠,519
本陣,16972
本駒込,22933
本鵠沼,13938
本黒田,68
札内,0
札幌,196244
札弦,0
札木,338
札比内,0
札的,0
札苅,10
朱文別,0
朽網,4552
杁ヶ池公園,3107
杉並町,752
杉原,1
杉塘,232
杉山,521
杉崎,50
杉戸高野台,11512
杉本町,18312
杉河内,0
杉田,33761
村上,6030
村井,4028
村山,2016
村崎野,1972
村野,4541
杜せきのした,3556
来宮,0
来待,254
来迎寺,1124
杭瀬,8796
東あずま,8061
東一身田,141
東三国,36698
東三日市,362
東三条,5408
東上,318
東下条,0
東中央町,201
東中山,6807
東中津,0
東中神,14378
東中野,82468
東中間,637
東久根別,120
東久留米,54968
東二見,7034
東京,934330
東京テレポート,67379
東京ディズニーシー･ステーション,47921
東京ディズニーランド･ステーション,19123
東京ビッグサイト,16690
東京国際クルーズターミナル,3191
東仙台,7256
東伏見,24951
東佐野,2556
東光寺,0
東免田,48
東八尾,80
東八森,0
東八町,724
東六線,0
東刈谷,10974
東別府,0
東別院,15476
東加古川,27640
東北沢,7335
東北福祉大前,7290
東区役所前,17486
東十条,48540
東千葉,5136
東名,0
東名古屋港,5386
東向島,20442
東向日,13261
東吾野,456
東員,859
東唐津,1700
東園,0
東垂水,1315
東城,22
東塩釜,4694
東多久,0
東多良木,51
東大前,29051
東大和市,25177
東大垣,118
東大宮,66702
東大島,32240
東大崎,0
東大手,4115
東大更,0
東大館,0
東天下茶屋,1662
東姫路,2826
東室蘭,3666
東宮原,4925
東宿毛,24
東富山,2922
東富岡,212
東寺,9285
東小泉,1517
東小浜,670
東小諸,0
東小金井,63106
東尾久三丁目,1563
東尾道,4162
東屋代,0
東屯田通,1982
東山,20061
東山・おかでんミュージアム,2796
東山代,54
東山公園,15974
東山北,1681
東山梨,0
東山田,10485
東岡山,7948
東岡崎,39249
東岩槻,20454
東岩瀬,363
東岸和田,22644
東川口,73246
東工業前,130
東市来,682
東幡豆,382
東広島,2820
東府中,21274
東成岩,1188
東成田,1796
東我孫子,0
東戸塚,118658
東所沢,31064
東新宿,43747
東新川,918
東新庄,978
東新木,300
東新津,0
東新湊,31
東新潟,3538
東新町,1025
東日本橋,84888
東旭川,0
東本願寺前,888
東札幌,22430
東村山,48934
東松原,18499
東松山,28778
東松戸,41470
東松江,947
東松阪,2119
東枇杷島,5815
東林間,22006
東柏崎,0
東栄,133
東根,0
東根室,0
東桂,437
東梅田,167712
東森,0
東横田,0
東武ワールドスクウェア,298
東武動物公園,31354
東武和泉,969
東武宇都宮,9604
東武日光,3104
東武竹沢,877
東武練馬,60574
東武金崎,545
東比恵,23720
東毛呂,5637
東水巻,814
東水戸,150
東池袋,44120
東池袋四丁目,3743
東津山,232
東浜,54
東浦,3794
東浦和,58078
東浪見,0
東海,10142
東海大学前,38909
東海学園前,3496
東海神,8531
東海通,14922
東淀川,15804
東清川,0
東湊,858
東滑川,376
東滝川,0
東照宮,6892
東犀川三四郎,51
東玉出,60
東甘木,381
東生駒,17682
東田,511
東田坂上,1533
東田子の浦,2659
東田平,8
東町,0
東白楽,15031
東白石,0
東相内,0
東矢本,0
東石黒,50
東神奈川,74756
東福寺,19906
東福山,8822
東福島,1364
東福生,0
東福間,4958
東秋留,9438
東粉浜,73
東結城,0
東総元,3
東総社,1864
東美浜,70
東羽衣,10562
東能代,1000
東舞鶴,3110
東船岡,152
東船橋,40464
東花園,19107
東花輪,1401
東萩,434
東葉勝田台,31911
東藤原,110
東藤島,113
東行田,2352
東觜崎,846
東諫早,0
東貝塚,5050
東赤坂,346
東追分,0
東逗子,10140
東郡家,140
東部市場前,15976
東郷,10406
東都筑,80
東都農,0
東酒田,0
東野,12126
東野尻,288
東金,8476
東金井,0
東金沢,6292
東釧路,0
東銀座,91855
東長原,0
東長崎,27613
東長沢,0
東門前,13062
東開聞,0
東陽町,122629
東雲,14673
東青原,16
東青山,37
東青梅,13114
東青森,1324
東静内,0
東静岡,16801
東須磨,2722
東飯能,11356
東館,160
東高円寺,35987
東高崎,0
東高須,1850
東鳴尾,2165
東鷲宮,19932
東鹿越,0
杵築,1630
松が谷,2713
松ノ浜,3939
松ノ馬場,1399
松ヶ崎,11593
松ヶ浦,0
松下,66
松丸,114
松久,0
松井山手,14236
松井田,0
松代,0
松任,7516
松倉,0
松前,1039
松原,3740
松原湖,0
松塚,1362
松尾,1878
松尾八幡平,0
松尾大社,5174
松尾寺,68
松屋町,10115
松山,13742
松山市,19707
松山市駅,8012
松山町,1184
松岡,363
松岩,0
松岸,914
松島,1658
松島二丁目,588
松島海岸,2328
松崎,416
松川,2238
松戸,199818
松戸新田,6681
松木平,10
松本,37281
松森,72
松橋,3446
松永,9602
松江,8374
松江しんじ湖温泉,1848
松江イングリッシュガーデン前,110
松江フォーゲルパーク,62
松浦,421
松浦発電所前,38
松田,6470
松田町,73
松神,0
松草,0
松葉,117
松虫,1063
松阪,16279
松陰神社前,11448
松風町,1129
松飛台,5185
板倉東洋大前,3819
板宿,26136
板持,22
板東,374
板柳,0
板橋,68910
板橋区役所前,35277
板橋本町,36282
板荷,87
板谷,0
板野,898
枇杷島,9155
枕崎,0
林,42
林崎,0
林崎松江海岸,4537
林道,1975
林野,232
林間田園都市,7945
枚岡,4799
枚方公園,17919
枚方市,80389
枝光,5908
枝川,716
枡形,649
柏,252552
柏たなか,13600
柏の葉キャンパス,36100
柏原,28289
柏原南口,971
柏崎,3314
柏木平,0
柏木町,975
柏林台,0
柏森,11229
柏矢町,1012
柏農高校前,93
柏陽,0
柘植,616
柚木,3133
柚須,8444
柱野,66
柳,261
柳ヶ浦,1212
柳井,3704
柳井港,486
柳原,1199
柳小路,2714
柳川,470
柳本,1186
柳橋,0
柳沢,0
柳津,4199
柳瀬,5
柳瀬川,20264
柳生,1196
柳生橋,1266
柳田,0
柴原阪大前,10087
柴又,9631
柴宿,0
柴山,146
柴島,4602
柴崎,18042
柴崎体育館,4361
柴平,0
柴橋,0
柴田,4541
柿ケ島,0
柿ノ木,0
柿下温泉口,43
柿崎,988
柿平,1
柿生,37634
栂・美木多,19558
栃原,235
栃屋,77
栃木,11449
栄,219802
栄生,13664
栄町,42090
栗丘,0
栗山,0
栗平,24606
栗東,23952
栗林,2246
栗林公園,3456
栗林公園北口,842
栗橋,25076
栗沢,0
栗熊,587
栗田,174
栗野,0
栢山,8589
根室,176
根小屋,149
根岸,43896
根府川,0
根本,2515
根津,29579
根知,6
根笠,8
根雨,368
桂,45103
桂台,0
桂岡,0
桂川,31750
桂根,0
桂瀬,24
桃内,0
桃園,503
桃山,4194
桃山南口,4592
桃山台,39902
桃山御陵前,15214
桃川,0
桃谷,36280
桐原,2134
桐生,7760
桐生球場前,127
桑名,32272
桑名川,0
桑園,21154
桑川,0
桑折,1262
桑町,273
桑野,192
桔梗,536
桔梗が丘,5492
桜,4077
桜ノ宮,35100
桜ヶ丘,20242
桜上水,38001
桜井,16229
桜台,14889
桜坂,3811
桜山,25380
桜岡,0
桜島,27788
桜島桟橋通,1461
桜川,15917
桜新町,73288
桜木,3621
桜木町,142320
桜本町,8112
桜橋,4697
桜水,635
桜沢,907
桜田門,13456
桜町,1700
桜町前,3613
桜街道,7063
桟橋車庫前,520
桟橋通一丁目,544
桟橋通三丁目,794
桟橋通二丁目,260
桟橋通五丁目,197
桟橋通四丁目,353
桶川,52968
梁川,446
梁瀬,270
梅の辻,542
梅ヶ丘,34064
梅ヶ峠,190
梅ヶ沢,0
梅ヶ谷,33
梅坪,6674
梅小路京都西,4828
梅屋敷,16504
梅山,313
梅島,36020
梅戸井,250
梅本,1597
梅林,3342
梅津寺,337
梅田,442297
梅迫,128
梅郷,17015
梓橋,1020
梨郷,18
梶が谷,39850
梶原,2628
梶屋敷,92
梶栗郷台地,676
梶田,10
棚倉,1104
棚方,195
森,736
森ノ宮,49924
森上,3062
森下,151356
森口,568
森宮野原,68
森小路,8238
森山,154
森岳,362
森本,3294
森林公園,14284
森田,1866
森町病院前,88
森石,0
椋野,16
植大,1480
植木,1396
植村,0
植松,370
植田,17560
植苗,0
椎名町,20649
椎柴,0
椎田,1652
検見川,4050
検見川浜,31368
椥辻,17084
椿,30
楚原,1214
楠,1562
楠久,83
楠橋,530
楡原,68
楡木,254
楢原,50
楯山,0
極楽,65
極楽寺,1764
極楽橋,56
楽々園,7038
楽田,3708
榊原温泉口,923
榎井,261
榎原,0
榎戸,4166
榎町,384
榛原,8833
榴ヶ岡,6590
様似,0
槻木,5686
樅山,546
樋口,219
樋越,227
標茶,264
樟葉,53290
権堂,2518
権現前,66
横倉,28
横堀,240
横堤,18092
横尾,1802
横屋,56
横山,3708
横川,34048
横川一丁目,1033
横川目,0
横川駅,7104
横手,2494
横江,54
横河原,1338
横浜,847302
横瀬,1712
横田,358
横磯,0
横芝,2782
横間,0
横須賀,10480
横須賀中央,68092
樫山,470
樽井,7949
樽見,58
橋本,132272
橿原神宮前,17815
橿原神宮西口,2124
櫛ヶ浜,1850
櫛原,1064
櫛田,1237
櫟本,1798
欅平,2600
次郎丸,6275
欽明路,86
歌内,0
歌津,0
歓遊舎ひこさん,0
止別,0
正丸,194
正雀,15972
武並,911
武之橋,633
武佐,260
武川,947
武州中川,241
武州唐沢,2978
武州日野,204
武州荒木,354
武州長瀬,4353
武庫,58
武庫之荘,49963
武庫川,29372
武庫川団地前,7799
武志,73
武生,4660
武田尾,1190
武蔵中原,70120
武蔵五日市,8752
武蔵塚,4508
武蔵境,137970
武蔵増戸,5168
武蔵大和,7389
武蔵小山,53193
武蔵小杉,261504
武蔵小金井,125156
武蔵嵐山,7287
武蔵引田,6204
武蔵新城,74664
武蔵新田,27182
武蔵横手,295
武蔵浦和,107926
武蔵溝ノ口,172692
武蔵白石,0
武蔵砂川,12255
武蔵藤沢,24182
武蔵野台,26232
武蔵関,32351
武蔵高萩,6752
武豊,1394
武里,15804
武雄温泉,3398
段,0
段原一丁目,596
段山町,558
殿山,140
母恋,0
母野,2
比叡山坂本,11260
比土,23
比地大,240
比奈,122
比婆山,4
比島,1
比布,0
比延,26
比治山下,646
比治山橋,881
比津,10
比立内,21
比羅夫,0
比良,3088
毘沙門,4
毘沙門台,4075
毛呂,1430
毛賀,191
氏家,6430
気仙沼,392
気山,618
気賀,143
水上,728
水俣,360
水前寺,6930
水前寺公園,1323
水原,1534
水口,350
水口城南,540
水口松尾,60
水口石橋,60
水城,4190
水天宮前,84016
水尻,144
水居,56
水島,1280
水巻,4134
水成川,0
水戸,63745
水族館口,1026
水橋,1974
水沢,3718
水沢江刺,2006
水沼,98
水海道,2969
水無瀬,9572
水田,1246
水窪,75
水落,176
水道橋,166716
水道町,3679
水郷,0
水野,5115
水間観音,1434
水鳥,9
氷川台,41073
氷見,1522
永原,204
永和,2561
永尾,0
永山,968
永平寺口,389
永犬丸,1183
永田,2054
永田町,91240
永福町,33308
永覚,628
求名,4026
汐ノ宮,2190
汐入,18162
汐留,53734
汐見,0
汐見橋,647
江の浦,328
江ノ島,10097
江井ヶ島,3717
江住,24
江別,7238
江北,10912
江南,26888
江原,1118
江口,202
江古田,35267
江吉良,1457
江坂,106876
江尻,142
江尾,118
江島,131
江崎,56
江川崎,38
江差,0
江平,0
江戸川,6264
江戸川台,24035
江戸川橋,53897
江戸橋,7923
江曽島,2102
江木,249
江波,1703
江津,684
江津本町,0
江田,37417
江端,104
江見,0
江迎鹿町,547
江部乙,0
江釣子,0
池の浦,925
池の浦シーサイド,0
池ノ上,9466
池上,36564
池下,27468
池場,9
池尻,0
池尻大橋,63364
池戸,488
池月,0
池田,46169
池田園,0
池袋,1133988
池谷,138
池部,1186
池野,754
沓掛,20
沖松島,752
沢,724
沢ノ町,8328
沢中山,72
沢井,0
沢入,29
沢尻,0
沢渡,917
沢田,0
沢目,0
沢良宜,3679
沢谷,0
沢間,1
河佐,32
河内,808
河内国分,16458
河内堅上,726
河内天美,16958
河内小阪,26959
河内山本,20281
河内松原,29976
河内森,8653
河内永和,10987
河内磐船,22138
河内花園,10987
河内長野,26892
河原,156
河原田,1958
河原町,10636
河口湖,3172
河合,0
河合西,304
河和,4119
河和口,567
河堀口,3116
河山,15
河崎口,400
河戸帆待川,2452
河曲,644
河毛,1056
河津,1477
河瀬,6090
河芸,99
河辺,27270
河辺の森,10
河野原円心,2
油島,0
油川,824
油日,536
油木,2
油津,0
油田,676
油須原,82
治良門橋,544
沼ノ沢,0
沼ノ端,0
沼久保,13
沼南,3800
沼津,41341
沼田,3442
沼袋,20290
沼部,10877
泉,4898
泉ヶ丘,40458
泉中央,52624
泉佐野,24494
泉体育館,6479
泉外旭川,0
泉大津,29402
泉岳寺,223574
泉崎,0
泉沢,10
泉田,0
泉福寺,985
泉郷,0
泊,1378
法善寺,3944
法界院,2614
法華口,108
法隆寺,14096
波久礼,218
波多江,5042
波多浦,0
波子,60
波川,302
波方,134
波根,82
波止浜,230
波瀬,14
波田,1076
波田須,38
波野,0
波高島,58
泰澄の里,55
洋光台,40690
洗足,14898
洗足池,19124
洗馬,122
洗馬橋,605
洛西口,12766
洞泉,0
洞爺,540
津,35117
津ノ井,1156
津ノ森,195
津久井浜,6299
津久田,0
津久見,1638
津久野,16650
津南,158
津古,2431
津和野,380
津奈木,113
津守,774
津山,3946
津山口,30
津島,11994
津島ノ宮,3162
津川,324
津幡,14048
津新町,12063
津田,11292
津田山,7642
津田沼,207824
津福,2485
津谷,0
津軽中里,161
津軽二股,0
津軽五所川原,571
津軽今別,0
津軽大沢,58
津軽宮田,0
津軽尾上,202
津軽新城,0
津軽浜名,0
津軽湯の沢,0
津軽石,154
津軽飯詰,20
洲先,1831
洲原,22
流山,2714
流山おおたかの森,79200
流山セントラルパーク,10300
流山温泉,0
流通センター,20525
浄心,14564
浄水,10706
浅内,0
浅利,76
浅岸,0
浅川,4
浅水,384
浅海,130
浅海井,0
浅草,108434
浅草橋,110122
浅虫温泉,668
浅野,0
浅間町,10444
浅香,4446
浅香山,8673
浜の宮,3768
浜中,0
浜加積,89
浜北,3527
浜厚真,0
浜原,0
浜吉田,1008
浜名湖佐久米,39
浜坂,448
浜寺公園,4270
浜寺駅前,908
浜小清水,0
浜山公園北口,194
浜崎,1224
浜川崎,0
浜村,928
浜松,74051
浜松町,324286
浜河内,20
浜田,1380
浜田山,30158
浜田浦,0
浜町,23188
浜町アーケード,3300
浜野,15230
浜金谷,550
浦ノ崎,76
浦上,5180
浦上車庫,2100
浦上駅前,2800
浦佐,2914
浦和,190128
浦和美園,22500
浦安,82712
浦宿,0
浦山,255
浦山口,148
浦川,110
浦幌,104
浦本,16
浦河,4
浦添前田,1088
浦田,754
浦臼,0
浦賀,20199
浪岡,1884
浪板海岸,72
浪江,0
浪花,0
浮孔,1552
浮間舟渡,44280
浮鞭,22
海の公園南口,1618
海の公園柴口,2091
海の王迎,6
海ノ中道,1560
