駅名,利用者数
丸尾,430
丸山,2802
丸山下,53
丸岡,2094
丸森,316
丸渕,763
丸瀬布,0
丹後由良,43
丹後神崎,12
丹比,85
丹治部,30
丹波口,13520
丹波大山,154
丹波橋,43918
丹波竹田,260
丹生,246
丹生川,276
丹荘,0
乃木,1836
乃木坂,42374
久々原,150
久々野,106
久が原,16512
久ノ浜,0
久下村,12
久下田,220
久世,410
久代,4
久住,0
久保田,1274
久原,63
久喜,71914
久地,28648
久宝寺,36224
久宝寺口,5445
久寿川,4425
久居,9581
久屋大通,52638
久崎,37
久慈,655
久我原,6
久我山,40879
久手,94
久根別,120
久津川,7293
久田野,0
久留米,15710
久留米大学前,2522
久留米高校前,1330
久留里,818
久米,2787
久米川,32638
久米田,13226
久美浜,77
久谷,18
久那土,262
久里浜,12910
乙丸,419
乙供,459
乙原,384
乙女,0
乙川,2399
九品仏,13337
九品寺交差点,1962
九大学研都市,19320
九州工大前,8996
九州鉄道記念館,465
九度山,566
九条,23859
九段下,177402
九産大前,15720
九郎原,0
九重,0
九頭竜湖,36
九鬼,33
乱川,0
亀井,476
亀山,4312
亀岡,17496
亀島,9736
亀崎,5564
亀嵩,44
亀川,3142
亀戸,116552
亀戸水神,4352
亀有,85708
亀田,10756
亀甲,448
二ツ井,606
二ツ杁,3265
二ノ瀬,56
二上,9326
二上山,1192
二上神社口,799
二中通,1130
二井田,60
二俣,1
二俣尾,0
二俣川,82602
二俣新町,9614
二俣本町,85
二十四軒,13028
二十軒,1031
二升石,0
二名,40
二和向台,17446
二塚,78
二子,2735
二子新地,21734
二子玉川,163140
二宮,26928
二島,2562
二川,6350
二戸,1576
二日市,14984
二月田,690
二木島,38
二本木,228
二本木口,480
二本松,3524
二条,27236
二条城前,10152
二田,618
二股,0
二色浜,4485
二見浦,517
二軒屋,1266
二軒茶屋,1356
二郎,177
二里ヶ浜,396
二重橋前,41352
二階堂,3479
五ノ三,499
五井,39053
五位堂,26874
五位野,686
五十島,0
五十崎,8
五十川,0
五十市,0
五十猛,22
五十石,0
五十鈴ヶ丘,503
五十鈴川,2603
五反田,282702
五反野,36756
五島町,1300
五所川原,1680
五日市,26808
五日町,0
五月台,10192
五条,14843
五橋,11632
五泉,2170
五百川,0
五百石,827
五百羅漢,1442
五知,28
五社,1914
五稜郭,1362
五稜郭公園前,3435
五箇荘,90
五農校前,198
五郎,28
五郎丸,753
五香,29725
井の頭公園,6814
井上,0
井倉,66
井出,69
井原,1122
井原市,134
井原里,3126
井口,2040
井土ヶ谷,29035
井尻,23881
井川,238
井川さくら,554
井戸,70
井田川,1377
井細田,3481
井荻,19818
井野,4362
井関,2
井高野,7268
亘理,4260
交通センター前,216
交通局前,1268
交野市,8887
京セラ前,50
京ヶ瀬,0
京丹後大宮,130
京口,2244
京急久里浜,42350
京急大津,4943
京急富岡,21764
京急川崎,132524
京急新子安,8399
京急東神奈川,23821
京急田浦,12986
京急蒲田,65123
京急長沢,7232
京急鶴見,33348
京成上野,50235
京成中山,3766
京成佐倉,18305
京成八幡,36364
京成千葉,29464
京成大久保,35157
京成大和田,12638
京成小岩,18803
京成幕張,8497
京成幕張本郷,16835
京成成田,36905
京成曳舟,19791
京成津田沼,60394
京成稲毛,7136
京成立石,39010
京成臼井,19787
京成船橋,93281
京成西船,10934
京成酒々井,6713
京成金町,25352
京成関屋,25614
京成高砂,106481
京橋,262740
京王よみうりランド,13687
京王八王子,58124
京王堀之内,32280
京王多摩センター,90353
京王多摩川,17021
京王永山,46013
京王片倉,5054
京王稲田堤,57300
京田辺,12796
京町温泉,0
京終,1480
京都,390164
京都市役所前,28747
京都河原町,78595
京都精華大前,1069
京阪大津京,5747
京阪山科,3877
京阪石山,6958
京阪膳所,5129
人丸,120
人丸前,1294
人吉,0
人吉温泉,953
人形町,80099
人見,113
仁万,562
仁井田,22
仁保,74
仁保津,784
仁山,0
仁川,24998
仁愛女子高校,74
仁方,1022
仁木,0
仁豊野,2114
仁賀保,522
今井,3808
今井浜海岸,293
今伊勢,3643
今出川,27758
今別,0
今宮,9500
今宮戎,1542
今宿,10872
今山,0
今川,4295
今川河童,80
今市,2322
今庄,318
今橋,639
